股票代码,股票名称,昨日收盘,今日开盘,今日收盘,最高价,最低价,涨幅(%),成交量,日期
000700,模塑科技,12.68,12.67,13.4,13.5,12.45,5.68,583709,2026-01-30
603009,北特科技,52.42,51.48,55.4,56.68,50.52,5.68,24579871,2026-01-30
002026,山东威达,15.0,15.05,15.85,15.98,14.72,5.67,281276,2026-01-30
603316,诚邦股份,14.02,14.33,14.81,15.07,14.09,5.63,27643580,2026-01-30
300163,先锋新材,5.34,5.19,5.64,5.76,5.18,5.62,1278040,2026-01-30
600403,大有能源,6.98,7.09,7.37,7.68,7.09,5.59,123022941,2026-01-30
688691,灿芯股份,129.1,127.32,136.31,138.88,126.17,5.58,8263558,2026-01-30
600871,石化油服,3.23,3.34,3.41,3.55,3.32,5.57,1153000744,2026-01-30
000973,佛塑科技,11.71,11.59,12.36,12.62,11.59,5.55,586273,2026-01-30
688535,华海诚科,127.88,127.0,134.95,137.57,126.3,5.53,5501257,2026-01-30
300985,致远新能,19.8,19.9,20.89,21.26,19.52,5.51,61306,2026-01-30
603325,博隆技术,81.4,81.36,85.88,87.35,80.5,5.5,1955407,2026-01-30
601388,怡球资源,4.37,4.33,4.61,4.8,4.02,5.49,481950993,2026-01-30
300938,信测标准,35.95,35.94,37.92,38.28,35.71,5.48,164795,2026-01-30
600226,亨通股份,5.85,5.81,6.17,6.28,5.75,5.47,128692710,2026-01-30
002048,宁波华翔,31.33,31.26,33.04,33.4,31.15,5.46,355178,2026-01-30
603173,福斯达,45.8,47.65,48.3,49.9,47.53,5.46,5989885,2026-01-30
688261,东微半导,97.52,94.33,102.82,105.5,94.33,5.43,6918863,2026-01-30
000998,隆平高科,9.97,10.02,10.51,10.73,9.94,5.42,1523501,2026-01-30
300903,科翔股份,26.77,26.6,28.22,29.13,26.38,5.42,471644,2026-01-30
002983,芯瑞达,23.46,23.41,24.73,25.5,22.86,5.41,103323,2026-01-30
000586,汇源通信,13.33,13.35,14.05,14.27,13.28,5.4,155036,2026-01-30
001319,铭科精技,28.68,28.58,30.22,30.69,28.58,5.37,83711,2026-01-30
603931,格林达,32.46,32.2,34.2,34.97,31.96,5.36,7133400,2026-01-30
002923,润都股份,13.66,14.2,14.39,14.66,13.65,5.34,291626,2026-01-30
600452,涪陵电力,11.79,11.79,12.42,12.86,11.41,5.34,99410392,2026-01-30
